MemberID,Age,Gender,MembershipType,MonthlyFee,JoinDate,LastVisitDate,VisitsLast30Days,PersonalTrainingSessionsLast90Days,PaymentMethod,InactivityDays,Cancelled
74,52,M,Premium,34.99,2023-09-05,2025-11-28,2,0,PayPal,65,1
75,42,F,Basic,19.99,2024-11-29,2024-12-05,2,1,Credit Card,423,0
76,27,D,Elite,49.99,2023-11-10,2025-01-28,11,2,PayPal,369,1
77,43,D,Elite,49.99,2025-09-17,2026-01-14,7,6,SEPA,18,0
78,31,F,Elite,49.99,2024-07-25,2025-10-29,4,1,Credit Card,95,1
79,29,F,Premium,34.99,2024-01-08,2025-05-21,3,4,Credit Card,256,1
80,28,M,Basic,19.99,2023-01-21,2025-12-14,5,0,PayPal,49,0
81,44,M,Basic,19.99,2025-09-02,2026-01-05,4,2,PayPal,27,0
82,51,D,Premium,34.99,2025-01-25,2025-09-24,2,2,PayPal,130,1
83,35,F,Basic,19.99,2025-07-18,2025-09-25,7,1,PayPal,129,1
84,29,D,Premium,34.99,2024-01-15,2024-07-29,7,3,PayPal,552,1
85,28,F,Basic,19.99,2024-08-02,2024-11-12,3,2,SEPA,446,1
86,19,D,Premium,34.99,2024-07-15,2024-08-30,7,0,Credit Card,520,0
87,16,D,Premium,34.99,2023-07-30,2026-01-08,3,1,SEPA,24,0
88,23,M,Premium,34.99,2024-06-01,2025-10-03,2,1,SEPA,121,0
89,35,M,Basic,19.99,2023-11-02,2025-05-31,11,3,PayPal,246,1
90,40,F,Premium,34.99,2024-04-07,2025-09-24,6,3,PayPal,130,1
91,22,M,Elite,49.99,2023-05-04,2025-01-17,9,5,SEPA,380,1
92,16,F,Premium,34.99,2023-06-03,2023-11-10,6,0,Credit Card,814,1
93,20,D,Basic,19.99,2024-08-02,2025-11-09,12,0,PayPal,84,0
94,23,D,Basic,19.99,2024-02-10,2025-04-20,0,0,SEPA,287,1
95,35,D,Elite,49.99,2023-05-03,2023-10-19,12,0,Credit Card,836,1
96,41,F,Elite,49.99,2024-09-14,2025-09-07,3,2,Credit Card,147,1
97,32,M,Basic,19.99,2024-10-22,2025-08-27,6,3,PayPal,158,0
98,52,M,Basic,19.99,2023-02-12,2024-08-16,0,1,SEPA,534,0
99,47,M,Premium,34.99,2025-06-11,2025-11-20,5,2,SEPA,73,0
100,47,F,Elite,49.99,2024-11-06,2025-06-04,14,1,Credit Card,242,1
101,32,F,Basic,19.99,2023-06-30,2024-05-17,9,0,SEPA,625,1
102,19,M,Elite,49.99,2025-08-04,2025-11-17,3,5,SEPA,76,0
103,51,M,Premium,34.99,2024-02-21,2024-11-20,2,2,PayPal,438,1
104,35,D,Basic,19.99,2024-05-05,2024-10-14,4,0,SEPA,475,0
105,25,F,Elite,49.99,2025-08-03,2025-09-02,6,6,Credit Card,152,1
106,45,D,Basic,19.99,2025-08-25,2025-10-26,0,4,SEPA,98,1
107,42,F,Elite,49.99,2023-05-23,2024-02-29,7,3,PayPal,703,1
108,25,F,Elite,49.99,2025-09-29,2026-01-17,4,3,Credit Card,15,0
109,28,D,Basic,19.99,2025-07-21,2025-10-11,3,0,SEPA,113,0
110,46,D,Premium,34.99,2024-10-13,2025-10-29,3,2,SEPA,95,0
111,24,D,Elite,49.99,2025-10-11,2025-10-15,7,3,SEPA,109,0
112,16,D,Basic,19.99,2025-12-13,2026-01-11,1,2,Credit Card,21,0
113,55,D,Premium,34.99,2024-06-26,2025-06-07,3,0,PayPal,239,0
114,47,D,Basic,19.99,2025-02-17,2025-07-29,3,0,Credit Card,187,1
115,43,M,Elite,49.99,2024-04-10,2024-07-11,7,2,Credit Card,570,1
116,36,M,Premium,34.99,2023-03-01,2023-06-03,5,2,Credit Card,974,1
117,27,M,Elite,49.99,2024-01-04,2024-06-26,11,0,PayPal,585,1
118,45,D,Premium,34.99,2023-10-21,2024-06-14,2,1,Credit Card,597,0
119,20,F,Premium,34.99,2024-08-12,2025-01-20,11,0,PayPal,377,0
120,35,M,Premium,34.99,2024-05-27,2025-09-06,9,0,Credit Card,148,1
121,17,D,Premium,34.99,2024-08-28,2025-06-26,7,3,PayPal,220,1
122,34,M,Elite,49.99,2023-04-11,2026-01-22,8,1,Credit Card,10,0
123,22,D,Elite,49.99,2023-10-08,2025-07-12,14,3,Credit Card,204,1
124,34,F,Elite,49.99,2023-09-27,2023-12-28,5,3,Credit Card,766,1
125,33,M,Premium,34.99,2025-12-23,2026-01-24,16,0,Credit Card,8,0
126,23,F,Basic,19.99,2024-11-24,2026-01-09,12,5,PayPal,23,0
127,39,M,Premium,34.99,2025-03-24,2026-01-03,12,1,PayPal,29,0
128,39,M,Elite,49.99,2024-06-20,2025-07-15,8,3,PayPal,201,0
129,30,D,Basic,19.99,2024-11-02,2025-09-10,3,0,PayPal,144,1
130,24,M,Basic,19.99,2025-04-16,2025-06-14,4,3,PayPal,232,1
131,45,F,Elite,49.99,2023-10-05,2024-11-05,13,2,PayPal,453,1
132,22,F,Elite,49.99,2023-11-13,2025-01-10,0,5,Credit Card,387,1
133,44,M,Premium,34.99,2024-03-20,2025-06-17,12,2,PayPal,229,1
134,41,F,Basic,19.99,2025-01-04,2025-02-04,15,0,SEPA,362,1
135,54,M,Basic,19.99,2024-03-10,2025-12-27,6,0,PayPal,36,1
136,51,M,Elite,49.99,2024-02-25,2024-05-05,9,6,SEPA,637,1
137,25,M,Elite,49.99,2023-01-06,2024-07-26,7,4,SEPA,555,1
138,38,M,Elite,49.99,2023-09-27,2023-10-12,6,4,PayPal,843,1
139,20,F,Premium,34.99,2025-05-12,2025-07-09,8,0,PayPal,207,1
140,18,D,Elite,49.99,2024-03-29,2025-12-18,3,2,SEPA,45,0
141,43,D,Basic,19.99,2025-09-07,2025-12-18,0,1,SEPA,45,1
142,25,M,Basic,19.99,2024-10-21,2025-08-28,5,3,Credit Card,157,1
143,49,F,Premium,34.99,2025-02-19,2025-12-21,3,0,SEPA,42,0
144,44,M,Premium,34.99,2024-03-16,2025-05-30,5,2,SEPA,247,1
145,36,D,Premium,34.99,2024-10-02,2025-05-08,6,1,SEPA,269,0
146,21,M,Premium,34.99,2023-07-06,2025-11-03,13,2,PayPal,90,0
147,51,D,Premium,34.99,2023-05-03,2024-12-23,6,0,Credit Card,405,0
148,34,D,Premium,34.99,2023-04-16,2026-01-01,4,3,PayPal,31,0
149,22,F,Elite,49.99,2025-09-14,2025-11-10,3,5,Credit Card,83,0
150,17,M,Premium,34.99,2023-02-23,2024-08-23,6,0,SEPA,527,1
151,52,D,Premium,34.99,2024-01-07,2024-06-01,13,2,SEPA,610,0
152,40,F,Premium,34.99,2025-12-22,2026-01-04,5,2,PayPal,28,0
153,19,M,Basic,19.99,2023-06-23,2025-12-13,6,0,Credit Card,50,1
154,54,F,Premium,34.99,2025-05-18,2026-01-21,7,4,Credit Card,11,0
155,53,F,Elite,49.99,2023-08-16,2024-06-01,7,2,PayPal,610,1
156,29,F,Basic,19.99,2023-04-23,2023-04-30,6,0,SEPA,1008,1
157,43,M,Basic,19.99,2023-01-16,2025-10-30,1,3,PayPal,94,1
158,41,D,Basic,19.99,2024-12-26,2025-01-31,1,1,Credit Card,366,1
159,41,D,Elite,49.99,2025-05-29,2025-10-22,6,3,Credit Card,102,1
160,45,D,Premium,34.99,2023-12-18,2025-09-10,14,3,PayPal,144,1
161,21,F,Premium,34.99,2025-03-31,2025-12-24,7,0,SEPA,39,0
162,23,D,Elite,49.99,2025-11-11,2026-01-31,10,6,PayPal,1,0
163,22,M,Premium,34.99,2023-10-30,2024-06-27,9,3,PayPal,584,1
164,47,F,Elite,49.99,2023-06-04,2023-12-02,8,0,PayPal,792,0
165,36,M,Premium,34.99,2024-10-23,2026-01-08,11,1,Credit Card,24,0
166,48,M,Premium,34.99,2023-04-26,2024-04-20,6,1,Credit Card,652,1
167,21,D,Elite,49.99,2023-06-07,2025-03-28,3,2,PayPal,310,1
168,52,D,Basic,19.99,2023-03-26,2025-10-02,4,3,SEPA,122,1
169,37,D,Basic,19.99,2025-07-11,2025-08-06,3,0,Credit Card,179,1
170,49,D,Basic,19.99,2025-06-18,2025-10-30,0,4,Credit Card,94,1
171,37,M,Premium,34.99,2023-04-18,2025-07-04,12,2,PayPal,212,1
172,21,D,Elite,49.99,2023-11-04,2024-10-10,10,4,PayPal,479,0
173,54,D,Basic,19.99,2025-03-13,2025-05-18,4,2,SEPA,259,1
174,43,D,Premium,34.99,2025-12-14,2025-12-19,11,1,Credit Card,44,0
175,30,M,Basic,19.99,2025-09-22,2025-11-10,12,2,PayPal,83,1
176,37,D,Basic,19.99,2025-12-14,2025-12-16,4,0,PayPal,47,1
177,44,M,Premium,34.99,2023-12-06,2025-12-13,3,3,PayPal,50,0
178,30,D,Basic,19.99,2024-08-06,2025-11-08,3,4,SEPA,85,1
179,52,F,Premium,34.99,2025-01-23,2026-01-05,8,0,Credit Card,27,0
180,54,M,Premium,34.99,2023-11-28,2024-06-19,12,1,SEPA,592,1
181,34,M,Basic,19.99,2025-11-22,2025-12-07,4,5,Credit Card,56,1
182,30,F,Premium,34.99,2023-07-07,2026-01-24,11,0,Credit Card,8,0
183,21,F,Basic,19.99,2024-04-27,2025-05-27,15,1,PayPal,250,1
184,25,M,Basic,19.99,2024-11-17,2025-12-27,4,4,SEPA,36,0
185,55,M,Basic,19.99,2025-08-18,2025-12-10,8,1,PayPal,53,1
186,23,F,Basic,19.99,2025-12-16,2026-01-12,5,1,PayPal,20,0
187,23,F,Elite,49.99,2025-07-25,2025-08-10,2,2,PayPal,175,1
188,43,M,Elite,49.99,2023-10-22,2024-08-15,4,5,PayPal,535,1
189,39,M,Elite,49.99,2023-06-25,2024-12-12,1,2,SEPA,416,1
190,18,D,Premium,34.99,2025-03-10,2025-11-05,11,0,SEPA,88,1
191,22,D,Elite,49.99,2024-12-07,2025-04-09,8,1,Credit Card,298,1
192,45,D,Premium,34.99,2023-12-25,2025-11-25,3,0,Credit Card,68,1
193,28,M,Basic,19.99,2023-03-17,2024-11-06,8,0,Credit Card,452,1
194,18,D,Basic,19.99,2025-08-27,2025-10-30,4,4,PayPal,94,1
195,23,F,Premium,34.99,2024-11-10,2025-03-29,13,0,Credit Card,309,0
196,47,D,Premium,34.99,2024-11-25,2025-02-28,3,3,SEPA,338,1
197,43,D,Basic,19.99,2025-05-19,2025-06-28,2,0,PayPal,218,1
198,44,D,Elite,49.99,2024-08-28,2025-07-07,2,4,SEPA,209,1
199,43,F,Elite,49.99,2024-12-23,2025-11-02,17,2,PayPal,91,1
200,48,D,Elite,49.99,2025-04-11,2025-10-14,8,3,PayPal,110,0
201,24,M,Basic,19.99,2025-06-16,2025-06-24,6,0,PayPal,222,1
202,44,F,Premium,34.99,2023-03-08,2024-01-16,6,1,Credit Card,747,1
203,33,M,Basic,19.99,2025-03-26,2025-09-02,8,1,PayPal,152,1
204,32,D,Premium,34.99,2023-08-30,2024-05-24,9,3,Credit Card,618,1
205,24,M,Premium,34.99,2024-02-14,2024-06-18,10,3,PayPal,593,0
206,38,D,Basic,19.99,2024-10-16,2025-09-22,2,0,SEPA,132,1
207,48,M,Basic,19.99,2023-12-23,2024-12-27,13,0,Credit Card,401,1
208,51,D,Premium,34.99,2023-02-23,2025-03-03,0,2,SEPA,335,1
209,41,D,Elite,49.99,2023-05-15,2024-03-26,3,3,PayPal,677,1
210,36,D,Basic,19.99,2023-06-01,2023-10-07,0,1,PayPal,848,1
211,43,D,Basic,19.99,2024-01-08,2024-05-19,8,0,SEPA,623,1
212,30,F,Elite,49.99,2024-10-22,2025-10-20,14,0,PayPal,104,1
213,35,D,Elite,49.99,2024-07-16,2024-11-21,12,4,PayPal,437,1
214,55,D,Elite,49.99,2023-11-12,2024-05-05,3,6,SEPA,637,1
215,52,F,Elite,49.99,2023-06-16,2023-08-01,9,5,SEPA,915,1
216,50,F,Elite,49.99,2025-10-16,2026-01-04,12,2,PayPal,28,0
217,45,M,Elite,49.99,2025-04-11,2025-09-10,12,3,SEPA,144,1
218,25,F,Elite,49.99,2024-11-27,2025-10-03,2,8,Credit Card,121,1
219,39,D,Elite,49.99,2023-09-25,2025-11-11,10,3,Credit Card,82,1
220,22,M,Premium,34.99,2024-05-22,2024-10-13,15,0,SEPA,476,1
221,36,M,Basic,19.99,2024-11-01,2025-08-23,1,1,Credit Card,162,1
222,21,F,Elite,49.99,2025-10-15,2025-10-17,5,3,SEPA,107,1
223,47,D,Elite,49.99,2023-04-14,2024-11-10,6,1,SEPA,448,1
224,32,D,Premium,34.99,2025-06-01,2025-07-05,8,0,PayPal,211,1
225,51,F,Basic,19.99,2024-02-03,2025-02-08,2,2,PayPal,358,1
226,22,F,Premium,34.99,2023-09-01,2024-01-10,9,0,SEPA,753,0
227,48,F,Elite,49.99,2024-02-12,2025-10-20,9,3,Credit Card,104,0
228,25,D,Elite,49.99,2025-11-29,2026-01-26,13,6,Credit Card,6,0
229,48,D,Elite,49.99,2024-09-04,2025-08-14,2,3,SEPA,171,1
230,23,F,Elite,49.99,2025-01-24,2025-07-12,4,7,PayPal,204,0
231,32,D,Elite,49.99,2023-02-24,2025-10-22,2,1,SEPA,102,0
232,55,F,Basic,19.99,2025-12-09,2026-01-18,7,0,PayPal,14,0
233,17,F,Premium,34.99,2023-08-14,2024-02-25,4,2,PayPal,707,1
234,24,D,Basic,19.99,2025-08-23,2025-09-07,0,0,Credit Card,147,1
235,45,D,Premium,34.99,2024-10-04,2024-12-31,2,0,PayPal,397,0
236,28,M,Premium,34.99,2024-06-25,2025-11-02,5,0,Credit Card,91,0
237,47,F,Premium,34.99,2024-08-14,2025-03-14,2,4,Credit Card,324,1
238,52,D,Elite,49.99,2024-08-12,2024-12-14,0,6,SEPA,414,1
239,34,D,Basic,19.99,2024-08-17,2024-09-29,3,2,Credit Card,490,1
240,50,F,Elite,49.99,2024-03-14,2024-10-06,7,1,PayPal,483,1
241,19,D,Elite,49.99,2024-05-05,2025-01-08,8,4,Credit Card,389,1
242,24,M,Elite,49.99,2025-08-25,2025-09-19,10,2,Credit Card,135,1
243,34,F,Premium,34.99,2025-09-04,2025-10-25,2,0,PayPal,99,1
244,18,M,Premium,34.99,2024-04-20,2025-10-19,9,0,Credit Card,105,0
245,34,M,Basic,19.99,2025-10-11,2025-11-03,4,3,Credit Card,90,0
246,50,D,Premium,34.99,2024-08-05,2025-11-13,9,0,Credit Card,80,0
247,37,M,Elite,49.99,2024-01-30,2024-05-24,5,3,PayPal,618,1
248,34,D,Elite,49.99,2024-11-21,2025-12-30,8,1,Credit Card,33,0
249,36,M,Premium,34.99,2025-05-25,2025-10-03,6,0,Credit Card,121,1
250,32,F,Basic,19.99,2024-05-23,2024-05-29,3,1,PayPal,613,1
251,39,D,Basic,19.99,2023-01-24,2024-07-12,7,1,Credit Card,569,1
252,35,D,Basic,19.99,2025-10-26,2026-01-24,0,0,SEPA,8,0
253,46,M,Premium,34.99,2024-03-24,2024-08-07,7,0,PayPal,543,1
254,29,M,Elite,49.99,2025-08-22,2025-09-10,8,0,PayPal,144,1
255,52,M,Basic,19.99,2025-01-10,2025-02-18,10,0,PayPal,348,1
256,36,D,Premium,34.99,2023-11-03,2024-04-19,10,1,SEPA,653,1
257,19,F,Basic,19.99,2025-11-11,2025-09-06,1,0,PayPal,148,1
258,17,F,Premium,34.99,2024-09-23,2025-09-28,10,0,SEPA,126,1
259,20,D,Basic,19.99,2025-05-17,2025-11-09,7,0,SEPA,84,0
260,27,M,Elite,49.99,2024-08-10,2025-10-02,13,2,Credit Card,122,1
261,40,M,Elite,49.99,2025-07-07,2025-10-11,15,2,Credit Card,113,1
262,50,F,Elite,49.99,2023-08-31,2024-02-29,15,6,SEPA,703,1
263,50,F,Elite,49.99,2024-09-03,2025-12-21,5,3,SEPA,42,0
264,23,M,Elite,49.99,2024-07-18,2025-01-27,2,4,SEPA,370,0
265,20,M,Elite,49.99,2024-05-07,2024-12-04,13,3,SEPA,424,1
266,41,F,Basic,19.99,2024-05-16,2024-06-30,0,0,SEPA,581,1
267,30,D,Elite,49.99,2025-10-28,2025-12-04,5,5,Credit Card,59,0
268,25,D,Elite,49.99,2024-04-30,2025-03-05,8,4,PayPal,333,1
269,43,D,Premium,34.99,2023-12-25,2025-09-26,11,1,Credit Card,128,1
270,42,F,Basic,19.99,2025-12-10,2025-12-30,5,2,SEPA,33,0
271,25,F,Basic,19.99,2024-04-06,2025-02-07,0,0,SEPA,359,1
272,32,M,Premium,34.99,2025-03-06,2025-07-08,2,0,SEPA,208,1
273,19,F,Premium,34.99,2026-01-01,2026-01-13,5,0,SEPA,19,0
274,29,F,Premium,34.99,2024-03-20,2025-07-23,8,0,PayPal,193,0
275,46,M,Elite,49.99,2023-08-29,2025-10-01,5,2,PayPal,123,0
276,34,F,Premium,34.99,2024-10-20,2025-11-21,4,0,PayPal,72,1
277,22,D,Premium,34.99,2025-10-15,2025-12-13,8,0,Credit Card,50,1
278,52,M,Elite,49.99,2025-04-27,2025-05-20,9,4,PayPal,257,0
279,25,M,Premium,34.99,2025-05-05,2025-10-03,8,3,PayPal,121,1
280,47,D,Elite,49.99,2024-11-22,2025-04-02,7,0,Credit Card,305,1
281,50,F,Basic,19.99,2023-12-13,2024-05-04,10,0,SEPA,638,1
282,20,D,Basic,19.99,2025-12-09,2025-12-11,6,0,SEPA,52,0
283,25,M,Basic,19.99,2023-05-20,2025-05-13,2,0,PayPal,264,1
284,17,M,Elite,49.99,2025-09-16,2026-01-18,7,2,Credit Card,14,0
285,17,D,Elite,49.99,2026-01-02,2026-01-11,4,0,SEPA,21,0
286,25,M,Basic,19.99,2023-07-17,2025-01-03,3,0,Credit Card,394,1
287,41,F,Elite,49.99,2023-06-11,2024-06-27,8,6,SEPA,584,1
288,41,F,Premium,34.99,2023-03-06,2023-09-13,6,0,SEPA,872,1
289,43,D,Premium,34.99,2023-06-19,2024-11-11,0,0,PayPal,447,1
290,29,D,Elite,49.99,2023-03-29,2024-07-11,6,3,Credit Card,570,1
291,36,M,Basic,19.99,2023-03-09,2024-03-10,0,0,Credit Card,693,1
292,26,D,Basic,19.99,2023-06-07,2024-04-08,0,0,PayPal,664,1
293,24,D,Elite,49.99,2024-11-10,2025-05-25,13,4,SEPA,252,1
294,20,F,Elite,49.99,2025-06-14,2025-08-12,9,0,Credit Card,173,1
295,44,F,Basic,19.99,2023-03-02,2024-09-11,0,4,PayPal,508,1
296,55,F,Basic,19.99,2025-02-17,2025-04-01,5,0,PayPal,306,1
297,40,F,Premium,34.99,2023-11-12,2025-12-08,8,1,Credit Card,55,0
298,24,M,Basic,19.99,2024-07-06,2024-10-18,1,2,SEPA,471,1
299,38,D,Basic,19.99,2023-02-23,2023-08-25,0,0,SEPA,891,0
300,40,M,Elite,49.99,2024-08-20,2025-10-17,15,0,PayPal,107,0
301,40,M,Basic,19.99,2025-12-03,2025-12-13,5,2,SEPA,50,1
302,42,F,Premium,34.99,2025-06-09,2025-08-18,8,0,PayPal,167,0
303,55,M,Premium,34.99,2025-10-12,2025-12-27,10,2,Credit Card,36,0
304,44,F,Premium,34.99,2025-02-17,2025-08-04,11,0,SEPA,181,0
305,54,D,Basic,19.99,2024-09-07,2025-08-01,3,1,Credit Card,184,1
306,52,M,Premium,34.99,2024-08-19,2026-01-03,2,3,SEPA,29,0
307,50,M,Elite,49.99,2024-02-14,2025-10-12,8,2,PayPal,112,0
308,34,D,Basic,19.99,2024-03-05,2025-05-27,8,0,Credit Card,250,1
309,35,M,Premium,34.99,2023-10-13,2025-07-22,4,0,SEPA,194,1
310,46,D,Premium,34.99,2025-07-08,2025-12-08,0,0,Credit Card,55,0
311,50,D,Elite,49.99,2023-03-17,2025-03-22,9,2,PayPal,316,1
312,55,M,Elite,49.99,2024-12-28,2025-03-23,13,2,Credit Card,315,1
313,16,M,Premium,34.99,2025-05-31,2025-06-27,9,4,PayPal,219,1
314,39,F,Premium,34.99,2024-03-28,2025-06-27,8,0,Credit Card,219,1
315,22,F,Premium,34.99,2023-02-20,2025-11-04,9,0,PayPal,89,0
316,35,F,Premium,34.99,2023-10-18,2024-10-08,9,0,SEPA,481,1
317,44,F,Basic,19.99,2025-06-16,2025-12-17,3,4,Credit Card,46,1
318,26,D,Basic,19.99,2023-08-12,2025-07-05,0,0,Credit Card,211,1
319,41,D,Basic,19.99,2025-08-04,2025-10-02,8,3,PayPal,122,1
320,53,F,Premium,34.99,2024-02-09,2025-05-14,10,1,PayPal,263,1
321,22,D,Basic,19.99,2023-05-09,2024-12-20,4,1,PayPal,408,1
322,36,D,Premium,34.99,2025-09-29,2025-12-05,3,0,Credit Card,58,0
323,35,D,Elite,49.99,2023-12-20,2025-11-08,9,3,Credit Card,85,1
324,39,D,Basic,19.99,2023-08-28,2024-03-02,1,0,Credit Card,701,1
325,47,D,Elite,49.99,2025-05-16,2025-08-19,5,0,PayPal,166,0
326,34,M,Basic,19.99,2023-12-08,2025-04-22,4,3,Credit Card,285,1
327,24,M,Premium,34.99,2023-01-20,2025-10-08,12,0,PayPal,116,1
328,44,F,Basic,19.99,2025-10-04,2025-11-26,6,1,Credit Card,67,0
329,30,D,Premium,34.99,2023-03-08,2024-09-20,10,2,Credit Card,499,1
330,52,M,Premium,34.99,2025-11-12,2025-11-26,9,0,SEPA,67,1
331,29,F,Basic,19.99,2025-06-22,2025-11-08,5,0,SEPA,85,1
332,38,M,Premium,34.99,2025-07-10,2025-09-15,9,0,SEPA,139,0
333,55,D,Premium,34.99,2024-12-19,2025-12-17,9,1,SEPA,46,1
334,38,D,Premium,34.99,2023-05-02,2024-12-05,6,0,Credit Card,423,0
